q,task_id,entry_point,clean_path,corrupted_path,target_path
q22,HumanEval/20,find_closest_elements,prompt-clean-q22.txt,prompt-corrupted-q22.txt,target-q22.txt
q23,HumanEval/21,rescale_to_unit,prompt-clean-q23.txt,prompt-corrupted-q23.txt,target-q23.txt
q24,HumanEval/22,filter_integers,prompt-clean-q24.txt,prompt-corrupted-q24.txt,target-q24.txt
q25,HumanEval/23,strlen,prompt-clean-q25.txt,prompt-corrupted-q25.txt,target-q25.txt
q26,HumanEval/24,largest_divisor,prompt-clean-q26.txt,prompt-corrupted-q26.txt,target-q26.txt
q27,HumanEval/25,factorize,prompt-clean-q27.txt,prompt-corrupted-q27.txt,target-q27.txt
q28,HumanEval/26,remove_duplicates,prompt-clean-q28.txt,prompt-corrupted-q28.txt,target-q28.txt
q29,HumanEval/27,flip_case,prompt-clean-q29.txt,prompt-corrupted-q29.txt,target-q29.txt
q30,HumanEval/28,concatenate,prompt-clean-q30.txt,prompt-corrupted-q30.txt,target-q30.txt
q31,HumanEval/29,filter_by_prefix,prompt-clean-q31.txt,prompt-corrupted-q31.txt,target-q31.txt
q32,HumanEval/30,get_positive,prompt-clean-q32.txt,prompt-corrupted-q32.txt,target-q32.txt
q33,HumanEval/31,is_prime,prompt-clean-q33.txt,prompt-corrupted-q33.txt,target-q33.txt
q34,HumanEval/32,find_zero,prompt-clean-q34.txt,prompt-corrupted-q34.txt,target-q34.txt
q35,HumanEval/33,sort_third,prompt-clean-q35.txt,prompt-corrupted-q35.txt,target-q35.txt
q36,HumanEval/34,unique,prompt-clean-q36.txt,prompt-corrupted-q36.txt,target-q36.txt
q37,HumanEval/35,max_element,prompt-clean-q37.txt,prompt-corrupted-q37.txt,target-q37.txt
q38,HumanEval/36,fizz_buzz,prompt-clean-q38.txt,prompt-corrupted-q38.txt,target-q38.txt
q39,HumanEval/37,sort_even,prompt-clean-q39.txt,prompt-corrupted-q39.txt,target-q39.txt
q40,HumanEval/38,decode_cyclic,prompt-clean-q40.txt,prompt-corrupted-q40.txt,target-q40.txt
q41,HumanEval/40,triples_sum_to_zero,prompt-clean-q41.txt,prompt-corrupted-q41.txt,target-q41.txt
q42,HumanEval/41,car_race_collision,prompt-clean-q42.txt,prompt-corrupted-q42.txt,target-q42.txt
q43,HumanEval/42,incr_list,prompt-clean-q43.txt,prompt-corrupted-q43.txt,target-q43.txt
q44,HumanEval/43,pairs_sum_to_zero,prompt-clean-q44.txt,prompt-corrupted-q44.txt,target-q44.txt
q45,HumanEval/44,change_base,prompt-clean-q45.txt,prompt-corrupted-q45.txt,target-q45.txt
q46,HumanEval/45,triangle_area,prompt-clean-q46.txt,prompt-corrupted-q46.txt,target-q46.txt
q47,HumanEval/46,fib4,prompt-clean-q47.txt,prompt-corrupted-q47.txt,target-q47.txt
q48,HumanEval/47,median,prompt-clean-q48.txt,prompt-corrupted-q48.txt,target-q48.txt
q49,HumanEval/48,is_palindrome,prompt-clean-q49.txt,prompt-corrupted-q49.txt,target-q49.txt
q50,HumanEval/49,modp,prompt-clean-q50.txt,prompt-corrupted-q50.txt,target-q50.txt
q51,HumanEval/50,decode_shift,prompt-clean-q51.txt,prompt-corrupted-q51.txt,target-q51.txt
q52,HumanEval/51,remove_vowels,prompt-clean-q52.txt,prompt-corrupted-q52.txt,target-q52.txt
q53,HumanEval/52,below_threshold,prompt-clean-q53.txt,prompt-corrupted-q53.txt,target-q53.txt
q54,HumanEval/53,add,prompt-clean-q54.txt,prompt-corrupted-q54.txt,target-q54.txt
q55,HumanEval/54,same_chars,prompt-clean-q55.txt,prompt-corrupted-q55.txt,target-q55.txt
q56,HumanEval/55,fib,prompt-clean-q56.txt,prompt-corrupted-q56.txt,target-q56.txt
q57,HumanEval/56,correct_bracketing,prompt-clean-q57.txt,prompt-corrupted-q57.txt,target-q57.txt
q58,HumanEval/57,monotonic,prompt-clean-q58.txt,prompt-corrupted-q58.txt,target-q58.txt
q59,HumanEval/58,common,prompt-clean-q59.txt,prompt-corrupted-q59.txt,target-q59.txt
q60,HumanEval/59,largest_prime_factor,prompt-clean-q60.txt,prompt-corrupted-q60.txt,target-q60.txt
q61,HumanEval/60,sum_to_n,prompt-clean-q61.txt,prompt-corrupted-q61.txt,target-q61.txt
q62,HumanEval/61,correct_bracketing,prompt-clean-q62.txt,prompt-corrupted-q62.txt,target-q62.txt
q63,HumanEval/62,derivative,prompt-clean-q63.txt,prompt-corrupted-q63.txt,target-q63.txt
q64,HumanEval/63,fibfib,prompt-clean-q64.txt,prompt-corrupted-q64.txt,target-q64.txt
q65,HumanEval/64,vowels_count,prompt-clean-q65.txt,prompt-corrupted-q65.txt,target-q65.txt
q66,HumanEval/65,circular_shift,prompt-clean-q66.txt,prompt-corrupted-q66.txt,target-q66.txt
q67,HumanEval/66,digitSum,prompt-clean-q67.txt,prompt-corrupted-q67.txt,target-q67.txt
q68,HumanEval/67,fruit_distribution,prompt-clean-q68.txt,prompt-corrupted-q68.txt,target-q68.txt
q69,HumanEval/68,pluck,prompt-clean-q69.txt,prompt-corrupted-q69.txt,target-q69.txt
q70,HumanEval/69,search,prompt-clean-q70.txt,prompt-corrupted-q70.txt,target-q70.txt
q71,HumanEval/70,strange_sort_list,prompt-clean-q71.txt,prompt-corrupted-q71.txt,target-q71.txt
q72,HumanEval/71,triangle_area,prompt-clean-q72.txt,prompt-corrupted-q72.txt,target-q72.txt
q73,HumanEval/72,will_it_fly,prompt-clean-q73.txt,prompt-corrupted-q73.txt,target-q73.txt
q74,HumanEval/73,smallest_change,prompt-clean-q74.txt,prompt-corrupted-q74.txt,target-q74.txt
q75,HumanEval/74,total_match,prompt-clean-q75.txt,prompt-corrupted-q75.txt,target-q75.txt
q76,HumanEval/75,is_multiply_prime,prompt-clean-q76.txt,prompt-corrupted-q76.txt,target-q76.txt
q77,HumanEval/76,is_simple_power,prompt-clean-q77.txt,prompt-corrupted-q77.txt,target-q77.txt
q78,HumanEval/77,iscube,prompt-clean-q78.txt,prompt-corrupted-q78.txt,target-q78.txt
q79,HumanEval/78,hex_key,prompt-clean-q79.txt,prompt-corrupted-q79.txt,target-q79.txt
q80,HumanEval/79,decimal_to_binary,prompt-clean-q80.txt,prompt-corrupted-q80.txt,target-q80.txt
q81,HumanEval/80,is_happy,prompt-clean-q81.txt,prompt-corrupted-q81.txt,target-q81.txt
q82,HumanEval/81,numerical_letter_grade,prompt-clean-q82.txt,prompt-corrupted-q82.txt,target-q82.txt
q83,HumanEval/82,prime_length,prompt-clean-q83.txt,prompt-corrupted-q83.txt,target-q83.txt
q84,HumanEval/83,starts_one_ends,prompt-clean-q84.txt,prompt-corrupted-q84.txt,target-q84.txt
q85,HumanEval/84,solve,prompt-clean-q85.txt,prompt-corrupted-q85.txt,target-q85.txt
q86,HumanEval/85,add,prompt-clean-q86.txt,prompt-corrupted-q86.txt,target-q86.txt
q87,HumanEval/86,anti_shuffle,prompt-clean-q87.txt,prompt-corrupted-q87.txt,target-q87.txt
q88,HumanEval/87,get_row,prompt-clean-q88.txt,prompt-corrupted-q88.txt,target-q88.txt
q89,HumanEval/88,sort_array,prompt-clean-q89.txt,prompt-corrupted-q89.txt,target-q89.txt
q90,HumanEval/89,encrypt,prompt-clean-q90.txt,prompt-corrupted-q90.txt,target-q90.txt
q91,HumanEval/90,next_smallest,prompt-clean-q91.txt,prompt-corrupted-q91.txt,target-q91.txt
q92,HumanEval/91,is_bored,prompt-clean-q92.txt,prompt-corrupted-q92.txt,target-q92.txt
q93,HumanEval/92,any_int,prompt-clean-q93.txt,prompt-corrupted-q93.txt,target-q93.txt
q94,HumanEval/93,encode,prompt-clean-q94.txt,prompt-corrupted-q94.txt,target-q94.txt
q95,HumanEval/94,skjkasdkd,prompt-clean-q95.txt,prompt-corrupted-q95.txt,target-q95.txt
q96,HumanEval/95,check_dict_case,prompt-clean-q96.txt,prompt-corrupted-q96.txt,target-q96.txt
q97,HumanEval/96,count_up_to,prompt-clean-q97.txt,prompt-corrupted-q97.txt,target-q97.txt
q98,HumanEval/97,multiply,prompt-clean-q98.txt,prompt-corrupted-q98.txt,target-q98.txt
q99,HumanEval/98,count_upper,prompt-clean-q99.txt,prompt-corrupted-q99.txt,target-q99.txt
q100,HumanEval/99,closest_integer,prompt-clean-q100.txt,prompt-corrupted-q100.txt,target-q100.txt
q101,HumanEval/100,make_a_pile,prompt-clean-q101.txt,prompt-corrupted-q101.txt,target-q101.txt
q102,HumanEval/101,words_string,prompt-clean-q102.txt,prompt-corrupted-q102.txt,target-q102.txt
q103,HumanEval/102,choose_num,prompt-clean-q103.txt,prompt-corrupted-q103.txt,target-q103.txt
q104,HumanEval/103,rounded_avg,prompt-clean-q104.txt,prompt-corrupted-q104.txt,target-q104.txt
q105,HumanEval/104,unique_digits,prompt-clean-q105.txt,prompt-corrupted-q105.txt,target-q105.txt
q106,HumanEval/105,by_length,prompt-clean-q106.txt,prompt-corrupted-q106.txt,target-q106.txt
q107,HumanEval/106,f,prompt-clean-q107.txt,prompt-corrupted-q107.txt,target-q107.txt
q108,HumanEval/107,even_odd_palindrome,prompt-clean-q108.txt,prompt-corrupted-q108.txt,target-q108.txt
q109,HumanEval/108,count_nums,prompt-clean-q109.txt,prompt-corrupted-q109.txt,target-q109.txt
q110,HumanEval/109,move_one_ball,prompt-clean-q110.txt,prompt-corrupted-q110.txt,target-q110.txt
q111,HumanEval/110,exchange,prompt-clean-q111.txt,prompt-corrupted-q111.txt,target-q111.txt
q112,HumanEval/111,histogram,prompt-clean-q112.txt,prompt-corrupted-q112.txt,target-q112.txt
q113,HumanEval/112,reverse_delete,prompt-clean-q113.txt,prompt-corrupted-q113.txt,target-q113.txt
q114,HumanEval/113,odd_count,prompt-clean-q114.txt,prompt-corrupted-q114.txt,target-q114.txt
q115,HumanEval/114,minSubArraySum,prompt-clean-q115.txt,prompt-corrupted-q115.txt,target-q115.txt
q116,HumanEval/115,max_fill,prompt-clean-q116.txt,prompt-corrupted-q116.txt,target-q116.txt
q117,HumanEval/116,sort_array,prompt-clean-q117.txt,prompt-corrupted-q117.txt,target-q117.txt
q118,HumanEval/117,select_words,prompt-clean-q118.txt,prompt-corrupted-q118.txt,target-q118.txt
q119,HumanEval/118,get_closest_vowel,prompt-clean-q119.txt,prompt-corrupted-q119.txt,target-q119.txt
q120,HumanEval/119,match_parens,prompt-clean-q120.txt,prompt-corrupted-q120.txt,target-q120.txt
q121,HumanEval/120,maximum,prompt-clean-q121.txt,prompt-corrupted-q121.txt,target-q121.txt
q122,HumanEval/121,solution,prompt-clean-q122.txt,prompt-corrupted-q122.txt,target-q122.txt
q123,HumanEval/122,add_elements,prompt-clean-q123.txt,prompt-corrupted-q123.txt,target-q123.txt
q124,HumanEval/123,get_odd_collatz,prompt-clean-q124.txt,prompt-corrupted-q124.txt,target-q124.txt
q125,HumanEval/124,valid_date,prompt-clean-q125.txt,prompt-corrupted-q125.txt,target-q125.txt
q126,HumanEval/125,split_words,prompt-clean-q126.txt,prompt-corrupted-q126.txt,target-q126.txt
q127,HumanEval/126,is_sorted,prompt-clean-q127.txt,prompt-corrupted-q127.txt,target-q127.txt
q128,HumanEval/127,intersection,prompt-clean-q128.txt,prompt-corrupted-q128.txt,target-q128.txt
q129,HumanEval/128,prod_signs,prompt-clean-q129.txt,prompt-corrupted-q129.txt,target-q129.txt
q130,HumanEval/129,minPath,prompt-clean-q130.txt,prompt-corrupted-q130.txt,target-q130.txt
q131,HumanEval/130,tri,prompt-clean-q131.txt,prompt-corrupted-q131.txt,target-q131.txt
q132,HumanEval/131,digits,prompt-clean-q132.txt,prompt-corrupted-q132.txt,target-q132.txt
q133,HumanEval/132,is_nested,prompt-clean-q133.txt,prompt-corrupted-q133.txt,target-q133.txt
q134,HumanEval/133,sum_squares,prompt-clean-q134.txt,prompt-corrupted-q134.txt,target-q134.txt
q135,HumanEval/134,check_if_last_char_is_a_letter,prompt-clean-q135.txt,prompt-corrupted-q135.txt,target-q135.txt
q136,HumanEval/135,can_arrange,prompt-clean-q136.txt,prompt-corrupted-q136.txt,target-q136.txt
q137,HumanEval/136,largest_smallest_integers,prompt-clean-q137.txt,prompt-corrupted-q137.txt,target-q137.txt
q138,HumanEval/137,compare_one,prompt-clean-q138.txt,prompt-corrupted-q138.txt,target-q138.txt
q139,HumanEval/138,is_equal_to_sum_even,prompt-clean-q139.txt,prompt-corrupted-q139.txt,target-q139.txt
q140,HumanEval/139,special_factorial,prompt-clean-q140.txt,prompt-corrupted-q140.txt,target-q140.txt
q141,HumanEval/140,fix_spaces,prompt-clean-q141.txt,prompt-corrupted-q141.txt,target-q141.txt
q142,HumanEval/141,file_name_check,prompt-clean-q142.txt,prompt-corrupted-q142.txt,target-q142.txt
q143,HumanEval/142,sum_squares,prompt-clean-q143.txt,prompt-corrupted-q143.txt,target-q143.txt
q144,HumanEval/143,words_in_sentence,prompt-clean-q144.txt,prompt-corrupted-q144.txt,target-q144.txt
q145,HumanEval/144,simplify,prompt-clean-q145.txt,prompt-corrupted-q145.txt,target-q145.txt
q146,HumanEval/145,order_by_points,prompt-clean-q146.txt,prompt-corrupted-q146.txt,target-q146.txt
q147,HumanEval/146,specialFilter,prompt-clean-q147.txt,prompt-corrupted-q147.txt,target-q147.txt
q148,HumanEval/147,get_max_triples,prompt-clean-q148.txt,prompt-corrupted-q148.txt,target-q148.txt
q149,HumanEval/148,bf,prompt-clean-q149.txt,prompt-corrupted-q149.txt,target-q149.txt
q150,HumanEval/149,sorted_list_sum,prompt-clean-q150.txt,prompt-corrupted-q150.txt,target-q150.txt
q151,HumanEval/150,x_or_y,prompt-clean-q151.txt,prompt-corrupted-q151.txt,target-q151.txt
q152,HumanEval/151,double_the_difference,prompt-clean-q152.txt,prompt-corrupted-q152.txt,target-q152.txt
q153,HumanEval/152,compare,prompt-clean-q153.txt,prompt-corrupted-q153.txt,target-q153.txt
q154,HumanEval/153,Strongest_Extension,prompt-clean-q154.txt,prompt-corrupted-q154.txt,target-q154.txt
q155,HumanEval/154,cycpattern_check,prompt-clean-q155.txt,prompt-corrupted-q155.txt,target-q155.txt
q156,HumanEval/155,even_odd_count,prompt-clean-q156.txt,prompt-corrupted-q156.txt,target-q156.txt
q157,HumanEval/156,int_to_mini_roman,prompt-clean-q157.txt,prompt-corrupted-q157.txt,target-q157.txt
q158,HumanEval/157,right_angle_triangle,prompt-clean-q158.txt,prompt-corrupted-q158.txt,target-q158.txt
q159,HumanEval/158,find_max,prompt-clean-q159.txt,prompt-corrupted-q159.txt,target-q159.txt
q160,HumanEval/159,eat,prompt-clean-q160.txt,prompt-corrupted-q160.txt,target-q160.txt
q161,HumanEval/160,do_algebra,prompt-clean-q161.txt,prompt-corrupted-q161.txt,target-q161.txt
q162,HumanEval/161,solve,prompt-clean-q162.txt,prompt-corrupted-q162.txt,target-q162.txt
q163,HumanEval/162,string_to_md5,prompt-clean-q163.txt,prompt-corrupted-q163.txt,target-q163.txt
q164,HumanEval/163,generate_integers,prompt-clean-q164.txt,prompt-corrupted-q164.txt,target-q164.txt
